fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,April,26,PUNJAB,2619,SAS NAGAR MOHALI,32635,377.991543340381,7,3,2.9556302,27,166,2723,12298,5815,11023,6,7,0,49.4410302,1674,1724,15785,21906,0,33385,44289,2750,46.4854,10060,28,52.85,2.24,100,NA
2024-2025,April,26,PUNJAB,2602,AMRITSAR,104324,392.290592526745,8,9,8.705665,188,862,7320,32623,25975,55844,22,35,0,136.682625,3686,3794,57523,74113,0,102858,128247,7508,127.97696,18782,26,49.98,4.41,100.17,NA
2024-2025,April,26,PUNJAB,2607,HOSHIARPUR,136673,374.450905598244,10,3,30.7180777,158,1406,7318,36440,17518,59349,13,50,0,167.1679877,3524,3575,61054,97395,0,108413,163709,7476,136.44991,21791,20,68.16,10.53,100,NA
2024-2025,April,26,PUNJAB,2609,PATIALA,170449,396.59551600497,6,29,24.4024757,406,1022,6833,84505,54336,86822,0,0,0,359.5455165,12722,13250,84911,131383,0,128557,185629,7239,335.1430408,67991,21,33.16,29.02,100,NA
2024-2025,April,26,PUNJAB,2614,NAWANSHAHR ,113480,390.530527392387,8,7,4.8548572,121,466,3105,44976,30938,29075,0,3,0,180.4998672,5180,5279,32211,43522,0,49260,63881,3226,175.64501,33327,32,67.18,17.22,100,NA
2024-2025,April,26,PUNJAB,2616,MUKATSAR,80286,782.088986304876,6,10,11.8810289,162,271,7056,31252,25411,125354,6,66,0,256.2994789,4875,5595,76715,148824,0,104973,194139,7218,244.41845,20389,39,51.98,5.88,106.35,NA
2024-2025,April,26,PUNJAB,2621,BARNALA,27671,400.082222566646,7,12,0,77,175,1115,25808,23046,36761,0,15,0,103.25322,3658,3870,24867,42222,0,37695,60562,1192,103.25322,17964,31,48.21,9.62,100,NA
2024-2025,April,26,PUNJAB,2602,AMRITSAR,104324,483.542095076811,7,7,8.705665,137,596,7348,16534,13374,55805,12,35,0,88.654515,2295,2359,57459,74044,0,102865,128269,7485,79.94885,9758,26,43.48,4.29,100,NA
2024-2025,April,26,PUNJAB,2603,FEROZEPUR                 ,151343,518.175064935065,8,4,5.7054859,188,621,8343,21175,16675,85938,0,62,0,115.4290559,2602,2900,65754,105517,0,115238,176257,8531,109.72357,10934,26,70.33,9.29,100,NA
2024-2025,April,26,PUNJAB,2623,Fazilka,167993,445.576824254882,6,4,2.806299,56,280,4445,15568,8748,114159,4,72,0,72.173699,2520,2930,106504,201118,0,138841,253121,4501,69.3674,8535,38,38.63,0,100,NA
2024-2025,April,26,PUNJAB,2602,AMRITSAR,104324,391.711654820726,9,10,8.705665,444,862,7072,37847,29988,55830,22,35,0,156.956775,4191,4312,57523,74086,0,102780,128089,7516,148.25111,22337,26,50.09,4.45,99.99,NA
2024-2025,April,26,PUNJAB,2606,KAPURTHALA,33650,317.25420145289,8,17,0,396,550,5016,55338,48045,33634,112,78,0,175.56213,6413,6651,27803,40178,0,46635,66072,5412,175.56213,42174,25,21.46,7.44,102.5,NA
2024-2025,April,26,PUNJAB,2612,FARIDKOT,30125,542.598343149311,7,17,12.0633545,299,243,1065,30902,24597,57425,0,5,0,179.7370945,4343,4902,38426,71931,0,52395,92539,1364,167.67374,21026,8,82.75,4.89,99.89,NA
2024-2025,April,26,PUNJAB,2614,NAWANSHAHR ,113480,397.56767802324,9,8,4.8548572,219,466,3017,53097,37861,29088,0,3,0,215.9513672,5769,5873,32219,43534,0,49260,63881,3236,211.09651,39526,32,71.25,10.67,99.62,NA
2024-2025,May,26,PUNJAB,2605,JALANDHAR,94027,407.656322419242,8,7,0,518,411,4572,45568,42869,43718,18,8,0,185.760833,5108,5223,35360,48128,0,72568,97002,5090,185.760833,35105,32,83.99,8.48,99.96,NA
2024-2025,May,26,PUNJAB,2606,KAPURTHALA,97209,300.951552069689,9,17,0,412,219,5005,63367,54487,33654,124,78,0,190.70397,6779,7061,27820,40205,0,46643,66085,5417,190.70397,48282,25,20.72,7.58,102.96,NA
2024-2025,May,26,PUNJAB,2603,FEROZEPUR                 ,398876,466.417724657806,9,8,5.7054859,307,425,8266,60492,48304,86191,0,62,0,287.8508959,6558,7307,65985,105812,0,115241,176268,8573,282.14541,32944,26,68.43,9.06,108.6,NA
2024-2025,May,26,PUNJAB,2607,HOSHIARPUR,311932,422.370498644753,11,3,30.7180777,169,956,7318,46486,23076,59366,19,50,0,227.0612277,4212,4269,61072,97427,0,108418,163721,7487,196.34315,27551,20,66.8,9.87,101.2,NA
